rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
0.0	0.000147536	-0.000252447	-0.00560428	-0.0191882	-0.0211579		0.0
-0.000719512	-0.0	-0.000180002	5.05898e-05	-0.0258288	-8.38546e-05	0.0460465	0.0803441652
0.0	0.000143845	-0.000140793	0.00280165	-0.000516126	2.01307e-06	0.0477131	0.07327790187
-0.000239829	-0.0	-0.000138808	3.37222e-05	-0.00578949	-3.3798e-05	0.0158095	0.02736005287
-0.000255223	-0.0	-0.000336165	6.94863e-05	-0.0162272	0.0175354	0.0227998	0.0386802221
0.0	0.000175122	-0.00016474	5.021e-05	-0.000512187	0.0160711	0.0249254	0.0472870893
6.01896e-05	-0.0	-0.00013368	5.27032e-05	-0.000508786	0.0138339	0.0099166	0.0155616742
0.0	-0.0	-0.000225329	-0.00218955	-0.00603266	0.0143666	0.00848775	0.0158907572
-5.46144e-05	0.000273773	-0.000296393	5.67937e-05	-0.0129712	0.019596	0.0172068	0.0343868537
0.00023491	0.000184288	3.46644e-06	3.07752e-05	-0.00419946	-0.0155508	0.0434533	0.0778880005
-0.000218663	-4.2383900000000004e-24	-0.000156369	5.67766e-05	-0.0123705	0.00366538	0.035031	0.0672980434
0.0	0.000198165	-5.44758e-05	6.71452e-05	-0.000516135	2.36481e-06	0.0210174	0.04146380879
0.0	0.000378941	-5.80054e-05	5.9618e-05	-0.000507849	-9.06738e-07	0.00921958	0.009234364747999999
0.0	0.000157319	-6.48453e-05	6.62168e-05	-0.00050005	-0.0230554	0.0257942	0.034491986062
-0.000439266	-0.0	-9.20774e-05	7.44184e-05	-0.000513902	-0.00345074	0.0318025	0.0508175686
-0.000150711	-0.0	-3.1608e-05	-0.0067239	-0.0030658	0.00615477	0.0184423	0.0364069464
-7.969549999999998e-05	0.000112233	-1.30373e-05	-0.00349859	-0.000510828	0.0163524	0.0127257	0.026068871999999996
0.0	-0.0	5.7793e-05	-0.00307492	0.00467476	-0.0232415	0.0411164	0.058341098
-0.000212506	-0.0	-0.000189677	8.63427e-05	-0.000512186	-0.0100082	0.0226642	0.0445803087
0.0	5.68105e-05	-0.000126464	-0.0126938	-0.000505971	-3.6388500000000003e-07	0.0197128	0.039420668815000004
0.000169468	-0.0	3.81949e-05	7.41589e-05	-0.000511273	7.38822e-06	0.0184469	0.032327883005
-0.000136279	-0.0	-0.000142846	-0.00195964	-0.000512313	-0.0082697399999999	0.0196286	0.034651362119999904
0.0	-0.0	-0.000119864	6.22966e-05	-0.000513032	-0.00601902	0.00755848	0.012236425599999901
-0.000209918	8.16163e-05	-0.000195558	7.52346e-05	-0.00953698	0.0099873	0.0230877	0.043404621000000004
0.0	-0.0	-0.000182883	6.79141e-05	-0.00750581	-0.0113748	0.0251518	0.038611055500000005
0.0	8.476329999999998e-05	2.39666e-05	6.97599e-05	-0.000516634	-0.0300089	0.0228132	0.0402057668
-0.000441811	-0.0	-6.03276e-06	7.817e-05	-0.00915542	-0.0159122	0.0298942	0.0505725791
