rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
0.00248784	-0.0	0.000534387	0.00995358	0.0579509	-0.00871766	0.108247	0.17528886241
0.00314188	-0.000141478	0.000635414	-0.0147164	0.0376739	-0.0235022	0.050076	0.10455877
0.00260545	-0.000295605	0.000279378	-0.00905447	0.0376333	-0.0305315	0.033655	0.06506148
0.00233524	6.28415e-05	0.000635414	-0.00996298	0.0280211	-0.024138	0.0322906	0.066148835
0.00204055	-0.0	0.000110101	-0.0170096	0.032308	-0.000395828	0.0429925	0.079217917
0.00232521	0.000181123	0.000228424	-0.00947069	0.0118443	-0.0495225	0.059313	0.1063345819999999
0.00215985	-9.99999e-05	0.000131855	-0.00623156	0.0118531	-0.0570692	0.0183865	0.0379472249999999
0.00197177	-0.000202001	0.000160518	-0.0089601999999999	0.0118652	-0.0265907	0.0345099	0.0491564449999999
0.00158365	-0.0	0.000113839	-0.0170094	0.0118713	-0.0349588	0.0245271	0.0482634
0.00170716	-0.000109063	0.000441703	-0.0201415	-0.0283775	-0.0555491	0.0490181	0.09199305
0.00186976	-0.00036185	0.000240886	-0.0170476	-0.0291202	-0.0666173	0.0224315	0.045715
0.00172574	-0.00048811	0.000250639	-0.0131988	-0.0212361	-0.0719956	0.0134617	0.03111285
0.00135921	-0.000569544	-4.34204e-05	-0.0280405	-0.0257204	-0.0570497	0.0361564	0.07137307
0.00133528	-0.000109569	-5.93174e-05	-0.0170255	-0.0310063	-0.0599932	0.0257318	0.0442344999999999
-0.00107418	-0.000115068	3.26678e-05	-0.0170165	-0.0342812	-0.0548718	0.126984	0.13375251
0.000445827	-0.000142638	-4.87311e-05	-0.0171479	-0.010223	-0.0305507	0.082932	0.129959495
0.000506819	0.000145422	0.000113839	-0.0171331	-0.0113744	-0.0348947	0.0178115	0.031091305
0.000445827	0.000121644	-0.000180281	-0.0171382	-0.00580503	-0.0261741	0.0189648	0.03323957
4.17345e-05	1.57831e-05	-0.000193999	-0.0171373	-0.000532316	-0.00304831	0.0351243	0.054582974
0.00017093	0.000186073	0.000113838	0.000451834	0.00621284	0.0221672	0.0373249	0.07991592
-0.000413907	-0.000406685	-0.000144349	-0.023028	-0.0278301	-0.0425583	0.0848337	0.1940373739999999
-0.000335687	-0.000406685	-0.000353409	-0.0237093	-0.0212842	-0.0425551	0.0135625	0.0215944
-0.000953681	-0.000706012	-0.000353409	-0.0171599	-0.0279275	-0.0425824	0.0374132	0.05908605
-0.000721892	-0.000909161	-0.000353409	-0.0222354	-0.0171336	-0.0425761	0.0201275	0.0376226
-0.00093204	-0.0008278829999999	-2.33116e-05	-0.029804	-0.0474379	-0.0425926	0.0373301	0.068965570000005
-0.00130699	-0.000879932	-4.76939e-05	-0.0171867	-0.0464028	-0.042627	0.0233301	0.036255865000005
-0.00204861	-0.000316291	-0.000353409	0.0122598	-0.0160623	-0.0266048	0.0660997	0.156358005
-0.00190224	-0.000671143	-0.000218753	0.0131971	-0.0239554	-0.0119544	0.025742	0.0552747
-0.00198641	-0.000316291	4.21977e-05	0.0338376	-0.00791346	-0.0118787	0.0355234	0.071756775
-0.00127901	-0.000512858	0.000185544	0.0203474	-0.0239728	-0.0294126	0.0488612	0.099449105
-0.00154325	-0.000316291	0.000101277	0.0218155	-0.0239765	-0.0473405	0.0228175	0.0466534
-0.00174662	-0.000556306	0.000251374	0.0210309	-0.0239733	-0.0447181	0.0184506	0.0330843
-0.00204587	-0.000316292	0.000185544	0.0243403	-0.0239511	-0.0217338	0.0329555	0.0565706
-0.00182076	-0.000316292	0.000185544	0.0285644	-0.0202074	-0.0516892	0.0350438	0.0491786999999999
-0.00182076	-0.000316292	0.000185544	0.0275386	-0.0100721	-0.0397275	0.0157117	0.0231228
-0.00196908	-0.000393043	0.000185544	0.015874	-0.0239545	-0.0411544	0.0202428	0.0382274499999999
