rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
0.00438494	-0.000904664	0.00120432	0.0074506499999999	0.0296734	-0.0568408		0.0
0.00438494	-0.000481607	0.000897034	-0.0122314	0.0567038	-0.0836004999999999	0.0509984	0.10998929999999979
0.00348695	-0.000481607	0.000931385	-0.0122301	0.0533814	-0.0507481	0.055766	0.08279314999999991
0.00353364	-0.000592634	0.00115244	-0.00785219	0.0271094	-0.0486775	0.0299722	0.051659109999999994
0.00307873	-0.000425752	0.000853724	-0.0104183	0.0271329	-0.0287389	0.0349824	0.06855360999999999
0.00204329	-0.000473677	0.000745405	-0.013329	0.00975112	-0.00947025	0.060215	0.09914532999999999
0.00231738	-0.00029617	0.000745405	-0.0138411	0.00974856	-0.0286907	0.0246269	0.04231495999999999
0.00142079	-2.55569e-05	0.000328642	-0.0303788	0.00975617	-0.0286575	0.0548698	0.095776815
0.00121556	-2.55569e-05	-1.85227e-05	-0.0245407	-0.0237551	-0.0008928169999999	0.0483949	0.0947337880000001
0.00058348	-0.000222986	-7.79299e-05	-0.0317907	0.00791168	-0.0184889	0.0482435	0.10095867800000011
0.000423881	-0.000126449	-1.85227e-05	-0.0192809	-0.0132243	-0.00808259	0.0290308	0.05982925
0.000186959	-0.000282985	-1.85227e-05	-0.0211919	0.00996453	-0.0181684	0.0283103	0.05485854
0.000430557	-2.55569e-05	0.000281059	-0.00578315	-0.0132081	-0.00276349	0.038937	0.09401668
0.000186959	-2.55569e-05	-1.85227e-05	-0.0235234	0.0111756	-0.0132724	0.036929	0.079791845
3.60238e-05	-2.55569e-05	-8.600259999999998e-05	-0.0212162	-0.00746659	0.0214781	0.0404643	0.066620645
-0.000236263	-2.55569e-05	-8.17614e-05	-0.0235253	0.0125996	0.0163	0.0237871	0.04137979
3.20076e-05	-4.03772e-05	-1.85227e-05	-0.0167552	-0.00049841	0.0027876	0.0233572	0.05069698999999999
-0.000321239	-0.000305003	-1.85227e-05	-0.0083699099999999	0.0118813	0.0156044	0.0288157	0.06447542000000009
-6.31665e-05	-2.19979e-05	-1.85227e-05	-0.0089187599999999	-0.0132139	0.01261	0.0305939	0.05569233
