Node	CEREBELLUM_LEFT	THALAMUS_LEFT	CAUDATE_LEFT	PUTAMEN_LEFT	PALLIDUM_LEFT	BRAIN_STEM	HIPPOCAMPUS_LEFT	AMYGDALA_LEFT	ACCUMBENS_LEFT	DIENCEPHALON_VENTRAL_LEFT	CEREBELLUM_RIGHT	THALAMUS_RIGHT	CAUDATE_RIGHT	PUTAMEN_RIGHT	PALLIDUM_RIGHT	HIPPOCAMPUS_RIGHT	AMYGDALA_RIGHT	ACCUMBENS_RIGHT	DIENCEPHALON_VENTRAL_RIGHT
CEREBELLUM_LEFT	1.0	0.5375819802284241	-0.24583682417869568	-0.385446697473526	0.5137579441070557	0.2629329562187195	0.1093766838312149	-0.017190229147672653	-0.08515817672014236	0.4103263020515442	0.8340193629264832	0.4148878753185272	-0.10566173493862152	-0.16471698880195618	0.65976482629776	0.22540579736232758	-0.025910619646310806	0.22883424162864685	0.13596874475479126
THALAMUS_LEFT	0.5375819802284241	1.0	-0.029018111526966095	-0.31412407755851746	0.2716914117336273	0.12849962711334229	0.4297759532928467	-0.3544420301914215	-0.36446160078048706	-0.01662304811179638	0.6198888421058655	0.7693012952804565	0.06053498014807701	-0.20880819857120514	0.38880518078804016	0.47959786653518677	0.02127917855978012	-0.1535855531692505	-0.12479352951049805
CAUDATE_LEFT	-0.24583682417869568	-0.029018111526966095	1.0	0.3987468183040619	-0.41267991065979004	-0.3856859505176544	-0.27082717418670654	-0.3880380690097809	-0.4099941849708557	-0.540808916091919	-0.04434437304735184	0.07925067842006683	0.7807050943374634	0.23763388395309448	-0.21289198100566864	0.17277047038078308	0.0018201289931312203	-0.34906214475631714	-0.44579723477363586
PUTAMEN_LEFT	-0.385446697473526	-0.31412407755851746	0.3987468183040619	1.0	0.09131944924592972	-0.08801709860563278	-0.3396056890487671	0.0012276776833459735	-0.03969592601060867	-0.4353801906108856	-0.30482685565948486	-0.35921820998191833	0.5416349172592163	0.836707592010498	-0.10725636780261993	-0.022612636908888817	-0.3187853693962097	0.28092366456985474	0.12531721591949463
PALLIDUM_LEFT	0.5137579441070557	0.2716914117336273	-0.41267991065979004	0.09131944924592972	1.0	0.6687694191932678	0.03381335735321045	0.11322184652090073	0.006490293424576521	0.5007678866386414	0.34234049916267395	0.08902823179960251	0.083650141954422	0.36188530921936035	0.7421911358833313	-0.10707564651966095	-0.4013870358467102	0.5530453324317932	0.39580097794532776
BRAIN_STEM	0.2629329562187195	0.12849962711334229	-0.3856859505176544	-0.08801709860563278	0.6687694191932678	1.0	0.12612105906009674	0.15452374517917633	0.21411310136318207	0.5461398959159851	0.11180809885263443	0.02155153825879097	-0.15564174950122833	0.25076621770858765	0.41736900806427	-0.32488977909088135	-0.35417652130126953	0.4088916778564453	0.5404044985771179
HIPPOCAMPUS_LEFT	0.1093766838312149	0.4297759532928467	-0.27082717418670654	-0.3396056890487671	0.03381335735321045	0.12612105906009674	1.0	0.21722017228603363	0.4196665585041046	0.2876115143299103	0.10513310879468918	0.44683629274368286	-0.2359878569841385	-0.2001042664051056	0.07362108677625656	0.571101188659668	0.3690184950828552	-0.04238883778452873	0.3449799120426178
AMYGDALA_LEFT	-0.017190229147672653	-0.3544420301914215	-0.3880380690097809	0.0012276776833459735	0.11322184652090073	0.15452374517917633	0.21722017228603363	1.0	0.5587319731712341	0.3970816135406494	-0.11200821399688721	-0.2006017416715622	-0.26258137822151184	0.1592596471309662	-0.192728191614151	-0.011321665719151497	0.34426644444465637	0.5700481534004211	0.3309593200683594
ACCUMBENS_LEFT	-0.08515817672014236	-0.36446160078048706	-0.4099941849708557	-0.03969592601060867	0.006490293424576521	0.21411310136318207	0.4196665585041046	0.5587319731712341	1.0	0.5034422874450684	-0.1522042602300644	-0.29703670740127563	-0.4319188892841339	0.08622429519891739	-0.12547968327999115	-0.11511547863483429	0.0036290050484240055	0.46104922890663147	0.585124135017395
DIENCEPHALON_VENTRAL_LEFT	0.4103263020515442	-0.01662304811179638	-0.540808916091919	-0.4353801906108856	0.5007678866386414	0.5461398959159851	0.2876115143299103	0.3970816135406494	0.5034422874450684	1.0	0.17344988882541656	-0.12245242297649384	-0.49393486976623535	-0.03901081159710884	0.33631622791290283	-0.25256219506263733	-0.02064787782728672	0.4178585410118103	0.6483145356178284
CEREBELLUM_RIGHT	0.8340193629264832	0.6198888421058655	-0.04434437304735184	-0.30482685565948486	0.34234049916267395	0.11180809885263443	0.10513310879468918	-0.11200821399688721	-0.1522042602300644	0.17344988882541656	1.0	0.6247702836990356	0.041729703545570374	-0.18512849509716034	0.4765627980232239	0.29768794775009155	-0.26469895243644714	0.1458047330379486	-0.16685819625854492
THALAMUS_RIGHT	0.4148878753185272	0.7693012952804565	0.07925067842006683	-0.35921820998191833	0.08902823179960251	0.02155153825879097	0.44683629274368286	-0.2006017416715622	-0.29703670740127563	-0.12245242297649384	0.6247702836990356	1.0	0.22325335443019867	-0.23518630862236023	0.23293787240982056	0.6232607960700989	0.04300089552998543	-0.2278629094362259	-0.3056430220603943
CAUDATE_RIGHT	-0.10566173493862152	0.06053498014807701	0.7807050943374634	0.5416349172592163	0.083650141954422	-0.15564174950122833	-0.2359878569841385	-0.26258137822151184	-0.4319188892841339	-0.49393486976623535	0.041729703545570374	0.22325335443019867	1.0	0.4581563174724579	0.1001102477312088	0.22842606902122498	-0.15919914841651917	-0.059499021619558334	-0.39250048995018005
PUTAMEN_RIGHT	-0.16471698880195618	-0.20880819857120514	0.23763388395309448	0.836707592010498	0.36188530921936035	0.25076621770858765	-0.2001042664051056	0.1592596471309662	0.08622429519891739	-0.03901081159710884	-0.18512849509716034	-0.23518630862236023	0.4581563174724579	1.0	0.12822186946868896	0.0014120056293904781	-0.36403971910476685	0.4700448513031006	0.4352549612522125
PALLIDUM_RIGHT	0.65976482629776	0.38880518078804016	-0.21289198100566864	-0.10725636780261993	0.7421911358833313	0.41736900806427	0.07362108677625656	-0.192728191614151	-0.12547968327999115	0.33631622791290283	0.4765627980232239	0.23293787240982056	0.1001102477312088	0.12822186946868896	1.0	0.0420742928981781	-0.31073126196861267	0.36601847410202026	0.23682396113872528
HIPPOCAMPUS_RIGHT	0.22540579736232758	0.47959786653518677	0.17277047038078308	-0.022612636908888817	-0.10707564651966095	-0.32488977909088135	0.571101188659668	-0.011321665719151497	-0.11511547863483429	-0.25256219506263733	0.29768794775009155	0.6232607960700989	0.22842606902122498	0.0014120056293904781	0.0420742928981781	1.0	0.39870813488960266	-0.3140649199485779	-0.11773146688938141
AMYGDALA_RIGHT	-0.025910619646310806	0.02127917855978012	0.0018201289931312203	-0.3187853693962097	-0.4013870358467102	-0.35417652130126953	0.3690184950828552	0.34426644444465637	0.0036290050484240055	-0.02064787782728672	-0.26469895243644714	0.04300089552998543	-0.15919914841651917	-0.36403971910476685	-0.31073126196861267	0.39870813488960266	1.0	-0.28657352924346924	-0.04499815031886101
ACCUMBENS_RIGHT	0.22883424162864685	-0.1535855531692505	-0.34906214475631714	0.28092366456985474	0.5530453324317932	0.4088916778564453	-0.04238883778452873	0.5700481534004211	0.46104922890663147	0.4178585410118103	0.1458047330379486	-0.2278629094362259	-0.059499021619558334	0.4700448513031006	0.36601847410202026	-0.3140649199485779	-0.28657352924346924	1.0	0.4978712201118469
DIENCEPHALON_VENTRAL_RIGHT	0.13596874475479126	-0.12479352951049805	-0.44579723477363586	0.12531721591949463	0.39580097794532776	0.5404044985771179	0.3449799120426178	0.3309593200683594	0.585124135017395	0.6483145356178284	-0.16685819625854492	-0.3056430220603943	-0.39250048995018005	0.4352549612522125	0.23682396113872528	-0.11773146688938141	-0.04499815031886101	0.4978712201118469	1.0
