rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	rmsd	framewise_displacement
-0.000165605	-0.000278813	0.000339411	-9.85575e-06	-3.73021e-06	0.0154233		0.0
0.0	-0.000359273	0.000263942	-0.00431891	0.0270237	0.030463	0.0331393	0.06245288446000001
-5.30981e-05	-0.00049343	0.000266053	1.56797e-05	0.00701966	0.00769126	0.0314532	0.056578674700000005
-0.000393715	-0.000277443	0.00021774	1.20918e-05	0.0130074	0.0372027	0.0362392	0.0657486129
0.00029694	-0.000346805	0.00014875	2.19764e-05	0.0335795	0.00712031	0.0520024	0.09211472459999999
-0.000467842	-6.06629e-05	0.0	1.24357e-05	0.0186575	0.0239241	0.0487093	0.09171903569999999
6.04669e-05	-0.00049343	0.0	1.76931e-05	0.0345188	0.0342082	0.0402491	0.0742044574
-0.000135139	-2.10049e-05	0.0	2.47143e-05	0.0179841	0.00715244	0.0416595	0.07699903120000001
-7.55493e-05	-0.000251108	0.000221365	2.53039e-05	0.0363329	0.0316755	0.0353352	0.0684253396
0.0	-1.89437e-05	0.0	2.08647e-05	0.0291491	0.0071423	0.0309544	0.0581753692
-0.00011892	6.79924e-06	0.000121334	3.95699e-05	0.0200782	0.0105769	0.0131822	0.0258240522
0.0	-0.000239482	0.0	1.64975e-05	0.0384176	0.0264023	0.0288787	0.0585146344
6.02267e-05	-6.31891e-05	0.000192174	-0.00262602	0.0200762	0.00713236	0.0299184	0.0616885375
-0.000369627	-0.00020036	0.0	9.74219e-06	0.0244541	0.0415517	0.0431364	0.07939293219
0.0	-0.00020578	0.000176005	1.84204e-05	0.0283564	0.00389278	0.0436266	0.06912249821
-0.000208117	0.000186298	0.0	3.63168e-05	4.83536e-05	0.0039116	0.0380397	0.0671547628
-0.000227044	-9.65668e-06	0.0	7.83192e-06	0.032554	0.0191318	0.0373475	0.05849841527999999
0.0	0.000125256	0.0	1.04818e-05	0.00226004	0.00390173	0.0359936	0.06362451388
-0.000511475	0.00018316	0.0	1.71518e-06	0.0203021	0.0270341	0.0386848	0.06965214662000001
0.0	4.22128e-06	0.0	1.37591e-05	0.0128931	0.014475	0.0307584	0.05450082992
0.0	0.000188603	0.0	6.73371e-06	-0.000407023	-0.00207455	0.0234323	0.03907578439
-5.34021e-05	0.000120714	-0.000434639	-0.0138291	-0.0159767	-0.00137625	0.031193	0.05790031571
-0.000253823	0.000277611	-0.000176117	-0.0116589	0.0224399	0.0115067	0.0442907	0.084261745
-0.000304795	0.000285683	-0.000172127	1.63473e-05	-0.000770287	0.0115134	0.0262528	0.0380438343
-0.000352209	0.000239854	-0.000299089	-0.00743923	0.0305204	0.0372322	0.041599	0.0754753143
-0.000411997	0.000312069	-0.000434639	-0.00909212	-0.000973038	0.0175231	0.038533	0.06623307800000001
-0.000744066	0.000333583	-0.000273739	-0.0122676	0.00716076	0.0379513	0.0290049	0.057461628
3.91986e-05	0.000254399	-0.000434639	-0.00870968	0.0327904	0.0305797	0.0501647	0.08772659
-0.000601904	0.000518568	-0.000434639	-0.0134415	-0.00688882	0.0262622	0.0550857	0.09399212
-0.000216416	0.000148086	-0.000434639	-0.00881878	0.0245925	0.0387998	0.0447998	0.08644014000000001
-0.000156492	0.000313229	-0.000434639	-0.00782098	0.0122145	0.0115283	0.0314658	0.05190065
-0.000267538	0.000154978	-0.000434639	-0.00665382	0.0279579	0.0537339	0.0463507	0.07258101
3.91986e-05	0.000317773	-0.000434639	-0.00471143	0.00365332	0.0215962	0.0438366	0.08186125000000001
-0.000495423	0.000332903	-0.000434639	-0.0135487	0.0121363	0.0387152	0.0341395	0.06192683000000001
3.31321e-05	0.000145836	-0.000434639	-0.00908113	0.0100528	0.0160179	0.0368021	0.06502947499999999
-0.000369579	0.000410951	-0.000434639	-0.0130149	0.00322991	0.0254028	0.0277981	0.053532865
9.81032e-05	0.000169655	-0.00043464	-0.00732273	0.0183999	0.0220439	0.0323212	0.059670020000000004
-0.000399551	0.000667257	-0.000434639	-0.013644	-0.0463964	-0.00832063	0.0818701	0.15124495999999998
9.86995e-05	0.000667257	-0.000499099	-0.0100013	-0.0042956	-0.0019646	0.0510377	0.080235055
-0.000627847	0.000667256	-0.00043464	-0.0146197	-0.0234287	0.00977212	0.0447429	0.07503854500000001
-0.000146038	0.000428378	-0.00043464	-0.0119347	-0.00760949	0.00977985	0.0325342	0.05454628999999999
-0.000399551	0.000667256	-0.00043464	-0.0199461	-0.0394902	0.00976777	0.038234	0.06452374000000001
1.81216e-05	0.000355449	-0.00043464	-0.014544	-0.00593718	0.00980148	0.0442991	0.07546281
-0.000259735	0.000667256	-0.00043464	-0.0175105	-0.0412308	-0.00102073	0.043594	0.07856550999999999
-0.000152	0.00043304	-0.00043464	-0.0146074	-0.0133306	0.00980014	0.0332722	0.05872172
-0.000331195	0.00047518	-0.000529364	-0.0170843	-0.0453384	-0.0080038699999999	0.0388041	0.0680916599999999
-0.000443173	0.000667256	-0.00043464	-0.021545	-0.0182511	0.0237381	0.0434745	0.08322886999999991
-0.000115179	0.000226592	-0.00043464	-0.0140893	-0.0337474	-0.00889169	0.0457774	0.09401469000000001
-0.000499685	0.000667256	-0.000522775	-0.0196254	-0.0406932	0.00978751	0.0367773	0.07682635000000002
0.000104005	0.000372493	-0.00043464	-0.0166699	-0.0195502	-0.0163039	0.0492393	0.09951931000000001
-0.000560253	0.000545134	-0.00052717	-0.0192881	-0.0367242	0.0008320149999999	0.0439409	0.0833995649999999
0.000176176	0.00039524	-0.000562258	-0.0158903	-0.0168685	-0.000277886	0.044342	0.0704339509999999
-0.00013691	0.000575737	-0.000579768	-0.0157166	-0.0297661	-0.0180699	0.0291287	0.056417964
-0.000119393	0.000678463	-0.00043464	-0.0176439	-0.0190922	-0.00508391	0.0192507	0.03885574000000001
-0.000119393	0.000603563	-0.000557434	-0.0154037	-0.0310498	-0.0215288	0.0217466	0.040527389999999996
-0.000240037	0.000644046	-0.00048498	-0.0153252	-0.0182991	0.0120754	0.0366429	0.05811245
2.69637e-05	0.000675167	-0.00043464	-0.0181785	-0.0183031	-0.011228	0.0275488	0.043583785
-0.000185643	0.000833445	-0.00043464	-0.0148111	-0.0513263	-0.0181441	0.0371011	0.06185093500000001
-0.000210426	0.000620021	-0.000515483	-0.0171111	-0.0325628	0.00998044	0.0359821	0.06514054
0.000153548	0.000349627	-0.00052045	-0.0156038	-0.0280277	-0.0112216	0.0317944	0.059211190000000004
-0.000288273	0.000834248	-0.000516407	-0.0211622	-0.046562	0.00971767	0.044472	0.09155622000000001
0.000250998	0.000219217	-0.00043464	-0.0185645	-0.0304006	0.000930282	0.0463841	0.08934993799999999
-0.000256131	0.000604923	-0.000533624	-0.0230151	-0.0611891	-0.0112166	0.0481772	0.096976932
0.000215787	0.000448061	-0.000502358	-0.0220723	-0.0330554	9.16674e-05	0.0406304	0.07338706740000002
-5.98972e-05	0.0008017309999999	-0.00043464	-0.0228716	-0.0643784	-0.0221423	0.0455444	0.089209877399995
-6.10261e-06	0.000278585	-0.00043464	-0.0193561	-0.0408768	0.003836	0.0449183	0.081842429499995
8.09798e-05	0.00076639	-0.000515658	-0.0212236	-0.0727097	-0.0247852	0.0503536	0.0951168705
-0.000385057	0.000856009	-0.000492569	-0.0216759	-0.0633491	-0.00355221	0.0332254	0.059983129999999996
0.000503241	0.000486439	-0.000548549	-0.0200522	-0.0507295	-0.0111943	0.0518881	0.08757779
-0.000286964	0.000823791	-0.00043464	-0.0230792	-0.0646069	-0.0132988	0.0470489	0.08108219999999998
0.000307855	0.000344264	-0.000568602	-0.021751	-0.050967	-0.0111834	0.0423537	0.07749890000000001
8.19377e-05	0.000608153	-0.000538173	-0.0194661	-0.064036	-0.0227973	0.0253772	0.05297956499999999
0.000220181	0.000710048	-0.000590322	-0.0229368	-0.0509644	-0.00672662	0.0229537	0.047227345000000004
0.000288941	0.000839229	-0.00054503	-0.0227041	-0.0618458	-0.0313319	0.028137	0.04788103000000001
2.51996e-05	0.0008967629999999	-0.00043464	-0.0217145	-0.0650273	-0.0117528	0.0249827	0.045333469999995
0.000279385	0.000841009	-0.000571581	-0.0200544	-0.0509668	-0.0313342	0.0288231	0.057646019999995
-0.000539923	0.000845562	-0.000617923	-0.0271145	-0.118206	-0.0312995	0.0818650999999999	0.11784415
0.000303811	0.000711042	-0.000799078	-0.0214317	-0.102516	-0.0503862	0.052115	0.09842995
-0.000281365	0.000831889	-0.000539577	-0.0288145	-0.118249	-0.0313325	0.0427043	0.09044570000000002
-1.98078e-05	0.00091326	-0.0007803	-0.0258218	-0.0992226	-0.0202729	0.0290002	0.06226126000000002
8.186489999999998e-05	0.000706365	-0.000565894	-0.0234482	-0.110626	-0.0385929	0.0265565	0.058245685000000005
1.47719e-05	0.0008784319999999	-0.00055533	-0.0300166	-0.113741	-0.0111858	0.0298129	0.049576699999995
0.000312121	0.000710362	-0.000664607	-0.0208649	-0.118252	-0.0414298	0.0367692	0.072641504999995
-1.59111e-06	0.000964753	-0.000580177	-0.0288163	-0.131864	-0.031323	0.0287211	0.06429685550000003
0.000380883	0.000641359	-0.00064048	-0.02408	-0.118252	-0.0480253	0.034353	0.07335915550000004
-0.000178157	0.000865506	-0.000577975	-0.0297551	-0.145149	-0.0399228	0.0433114	0.08295920000000001
0.000156148	0.000638856	-0.000704466	-0.0279801	-0.121241	-0.0381116	0.0329564	0.0618665
0.00023396	0.00088331	-0.000642328	-0.024712	-0.145164	-0.0507165	0.0301776	0.059016199999999984
-0.000233449	0.000974524	-0.000655683	-0.0300323	-0.133275	-0.031319	0.0332857	0.06520569999999999
0.000334169	0.0007739739999999	-0.000695322	-0.0269747	-0.124383	-0.0517182	0.0386041	0.07273915000000501
