CEREBELLUM_LEFT	THALAMUS_LEFT	CAUDATE_LEFT	PUTAMEN_LEFT	PALLIDUM_LEFT	BRAIN_STEM	HIPPOCAMPUS_LEFT	AMYGDALA_LEFT	ACCUMBENS_LEFT	DIENCEPHALON_VENTRAL_LEFT	CEREBELLUM_RIGHT	THALAMUS_RIGHT	CAUDATE_RIGHT	PUTAMEN_RIGHT	PALLIDUM_RIGHT	HIPPOCAMPUS_RIGHT	AMYGDALA_RIGHT	ACCUMBENS_RIGHT	DIENCEPHALON_VENTRAL_RIGHT
-0.9425984025001526	0.8720728754997253	0.19571317732334137	0.044271036982536316	-0.4490312337875366	-0.7307555079460144	-0.05807844176888466	-1.2142534255981445	0.11230918020009995	-0.10013729333877563	-0.673111617565155	0.6231361627578735	0.22436702251434326	0.16417309641838074	-0.19588340818881989	-0.5430843830108643	-0.2715013027191162	0.5777902007102966	-0.7706441283226013
-1.215154767036438	0.1720404177904129	1.0317084789276123	-1.3826510906219482	-0.541380763053894	-1.304342269897461	-0.9724627733230591	-0.9257980585098267	-0.18933901190757751	-0.8903546333312988	-0.24587035179138184	0.44193774461746216	0.8113471269607544	-1.09955632686615	-0.0781654492020607	0.34437131881713867	-0.19717872142791748	0.17656953632831573	-0.3303859233856201
-0.5394299030303955	0.12392590939998627	0.5523321628570557	-1.7521075010299683	-0.43748077750205994	-0.2993760108947754	-0.2598769962787628	-0.2218547910451889	-0.9780318737030029	-0.15774677693843842	0.2174615114927292	0.13215747475624084	0.019337236881256104	-1.59744393825531	0.6094889640808105	0.9100050926208496	-0.5695292353630066	-0.46619802713394165	0.3894522786140442
-0.06021586433053017	0.766137957572937	-0.2928217053413391	-0.5452879667282104	0.003679069923236966	0.4753521978855133	1.1219784021377563	0.06883823126554489	-0.5939587950706482	0.2863790988922119	-0.023448698222637177	0.4272274076938629	-0.5244060158729553	-0.5548664331436157	0.6393187046051025	0.5769517421722412	0.09306049346923828	-1.0888198614120483	0.16832540929317474
-0.10807063430547714	0.5572420954704285	-0.5154134035110474	0.38790401816368103	0.5747379064559937	0.18652255833148956	0.6397333145141602	-0.0021408277098089457	0.7398562431335449	-0.4570152461528778	-0.48588886857032776	0.3329807221889496	-0.5648815631866455	0.36533188819885254	-0.03607509285211563	-0.1357460618019104	1.0613293647766113	-0.4299332797527313	-0.3731749653816223
-0.23692549765110016	-0.48246294260025024	-0.2859558165073395	-0.3167347013950348	0.42868128418922424	-0.4244872033596039	-1.1411535739898682	-0.7707205414772034	0.5490176677703857	-0.9218720197677612	-0.32584133744239807	-0.33241233229637146	-0.8007793426513672	-0.27537816762924194	-0.14317360520362854	-0.4905339777469635	0.3841905891895294	0.8249641060829163	-0.08973699808120728
-0.35535791516304016	-0.6895267963409424	-0.12688173353672028	-0.8092412352561951	-0.3567380905151367	-0.7155811786651611	-1.3140406608581543	-1.3970173597335815	-0.5668224692344666	-0.5661810636520386	-0.06568820774555206	-0.3953642249107361	-0.5974420309066772	-0.5636593699455261	0.18933211266994476	-0.3373657464981079	-0.9097074866294861	1.1213477849960327	0.22540360689163208
-0.24381741881370544	-0.02026161551475525	-0.26693543791770935	0.8024415373802185	-0.601546585559845	-0.6762818694114685	0.10366272926330566	-0.38391244411468506	0.14836348593235016	-0.190230593085289	-0.4415268003940582	-0.0017244983464479446	0.3657560646533966	1.1730762720108032	-0.12314320355653763	-0.07575318962335587	-0.8363204002380371	0.8394587635993958	-0.4550842344760895
-0.027180327102541924	0.20606312155723572	-0.1404685527086258	2.4041006565093994	-0.0709000676870346	-0.8596713542938232	-0.056368086487054825	0.11548912525177002	0.949982225894928	-0.2642565667629242	-0.5932167172431946	-0.02563856728374958	0.8835367560386658	2.257887125015259	-0.7430448532104492	-0.5900201797485352	-0.2552725076675415	0.9557560682296753	-1.2116985321044922
-0.08136987686157227	-0.2979753017425537	0.5384519100189209	1.3138201236724854	0.2759217619895935	-0.7916687726974487	-1.6870635747909546	-1.4175939559936523	-0.7229294180870056	-0.5424551367759705	0.2494669258594513	-0.24212755262851715	0.3743174374103546	0.5395897626876831	-0.5675116181373596	-1.5428460836410522	-0.39082327485084534	1.1739799976348877	-0.7598234415054321
-0.03657952696084976	-0.6114392876625061	0.7093753814697266	-0.8667046427726746	-0.01715824194252491	0.2109508514404297	-0.872313380241394	-1.9743744134902954	-2.0145251750946045	-0.27684199810028076	1.0061800479888916	-0.13251906633377075	-0.22651277482509613	-1.4096705913543701	0.39974814653396606	-0.9454790353775024	-0.2545014023780823	-0.008538343943655491	0.38510778546333313
0.21831561625003815	0.10661457479000092	0.018612436950206757	-1.4776674509048462	-0.2834797501564026	0.7127484679222107	2.085634231567383	-0.24190421402454376	-0.4116085171699524	0.5368744134902954	0.7000057697296143	0.1810404509305954	-0.42992860078811646	-1.518081784248352	0.9374050498008728	1.0474259853363037	0.8548402190208435	-2.504671573638916	0.6271979808807373
0.147282212972641	1.1643153429031372	0.11750784516334534	-1.0492795705795288	-0.12425894290208817	-0.013143615797162056	2.63090443611145	1.3332457542419434	1.5741623640060425	1.0100271701812744	0.14149709045886993	0.37842848896980286	-0.15967093408107758	-1.2237460613250732	0.08072821795940399	1.2503944635391235	1.5770460367202759	-2.729609489440918	-0.3296821117401123
-0.28732261061668396	1.062366008758545	1.560368537902832	-0.9389058351516724	-0.12542837858200073	-0.45841184258461	0.4120655059814453	1.187497615814209	1.519921898841858	0.8898993134498596	0.17345380783081055	0.3565747141838074	0.9565401077270508	-1.3483099937438965	-1.0152910947799683	-0.5837647318840027	0.8293484449386597	0.22967520356178284	-1.0390150547027588
-0.6609576940536499	0.053161900490522385	1.9288465976715088	-0.851556658744812	-0.4922832250595093	-0.264547735452652	-0.7074682116508484	0.013602429069578648	0.22228755056858063	0.25646892189979553	0.21831120550632477	0.2189652919769287	1.6776295900344849	-0.928053617477417	-0.5896335244178772	-0.6778919100761414	-0.5814427733421326	1.4760620594024658	-0.6389762759208679
-0.5279873013496399	-0.44743362069129944	0.02566009759902954	0.05542530491948128	-0.4929247498512268	-0.15728572010993958	-0.19925913214683533	-0.6988829374313354	-0.5964353084564209	-0.44527360796928406	-0.3534376621246338	0.13791091740131378	0.7258314490318298	0.4168058931827545	0.3831522464752197	0.9016008973121643	-1.0545309782028198	-0.28630727529525757	0.3391423225402832
0.021781189367175102	-0.20549237728118896	-1.683763861656189	1.0445539951324463	0.17069634795188904	-0.2268245369195938	-0.4308278262615204	-0.4445984959602356	-0.36744341254234314	-0.5700360536575317	-0.9332364797592163	0.11384370923042297	-0.7224071025848389	1.4402790069580078	0.27900025248527527	0.5336138010025024	0.07999646663665771	-0.7301806211471558	0.7981148362159729
