Node	CEREBELLUM_LEFT	THALAMUS_LEFT	CAUDATE_LEFT	PUTAMEN_LEFT	PALLIDUM_LEFT	BRAIN_STEM	HIPPOCAMPUS_LEFT	AMYGDALA_LEFT	ACCUMBENS_LEFT	DIENCEPHALON_VENTRAL_LEFT	CEREBELLUM_RIGHT	THALAMUS_RIGHT	CAUDATE_RIGHT	PUTAMEN_RIGHT	PALLIDUM_RIGHT	HIPPOCAMPUS_RIGHT	AMYGDALA_RIGHT	ACCUMBENS_RIGHT	DIENCEPHALON_VENTRAL_RIGHT
CEREBELLUM_LEFT	1.0	0.1374141126871109	-0.1362745314836502	0.007482163608074188	0.2768976390361786	0.2995874881744385	-0.03970225527882576	0.4416012167930603	0.5637570023536682	-0.03357759490609169	0.7703928351402283	0.4027808904647827	-0.547736644744873	-0.2882806956768036	-0.17693831026554108	-0.08716881275177002	-0.11204054206609726	0.03819103166460991	-0.019875328987836838
THALAMUS_LEFT	0.1374141126871109	1.0	0.08185328543186188	0.5825803279876709	-0.23425033688545227	-0.6498658657073975	0.11596095561981201	-0.24100589752197266	-0.07989051192998886	0.16153891384601593	-0.20627543330192566	0.4792560636997223	0.16910408437252045	0.6393533945083618	-0.22703984379768372	0.09715692698955536	0.0152237294241786	-0.12320629507303238	0.4468710422515869
CAUDATE_LEFT	-0.1362745314836502	0.08185328543186188	1.0	0.6192832589149475	-0.12862282991409302	-0.3131871223449707	0.10293018817901611	-0.18512043356895447	0.027096981182694435	0.6325755715370178	-0.18166251480579376	0.14950722455978394	0.1667577028274536	0.251760870218277	-0.43640533089637756	0.319463849067688	0.09934578835964203	0.2461303025484085	0.0721658244729042
PUTAMEN_LEFT	0.007482163608074188	0.5825803279876709	0.6192832589149475	1.0	-0.373183935880661	-0.5681029558181763	0.10970418155193329	-0.11749844253063202	0.16708169877529144	0.6668093204498291	-0.2730518877506256	0.2660972476005554	0.23213407397270203	0.583977460861206	-0.2665587365627289	0.3291855454444885	-0.0035948031581938267	0.360710471868515	0.5252372026443481
PALLIDUM_LEFT	0.2768976390361786	-0.23425033688545227	-0.12862282991409302	-0.373183935880661	1.0	0.4088732898235321	0.17461411654949188	0.35315412282943726	0.08428428322076797	-0.3801013231277466	0.37611186504364014	0.1256207674741745	-0.17869797348976135	-0.2064363956451416	0.02906697988510132	0.0029814522713422775	0.16007636487483978	-0.3727397322654724	-0.42511385679244995
BRAIN_STEM	0.2995874881744385	-0.6498658657073975	-0.3131871223449707	-0.5681029558181763	0.4088732898235321	1.0	0.1483885943889618	0.4591001272201538	0.3939465284347534	-0.4230988025665283	0.46782052516937256	-0.17916199564933777	-0.22760719060897827	-0.6519135236740112	0.24008381366729736	0.06215352937579155	0.00663654925301671	-0.13894452154636383	-0.4301574230194092
HIPPOCAMPUS_LEFT	-0.03970225527882576	0.11596095561981201	0.10293018817901611	0.10970418155193329	0.17461411654949188	0.1483885943889618	1.0	0.24579182267189026	0.23749370872974396	0.0035269493237137794	0.04777617007493973	0.04747597500681877	0.2991093695163727	0.12568306922912598	0.3234199583530426	0.8294979333877563	0.612034797668457	-0.210454523563385	0.20109961926937103
AMYGDALA_LEFT	0.4416012167930603	-0.24100589752197266	-0.18512043356895447	-0.11749844253063202	0.35315412282943726	0.4591001272201538	0.24579182267189026	1.0	0.3741181194782257	-0.19010670483112335	0.7083941102027893	0.060823872685432434	-0.18003594875335693	-0.4108080267906189	0.08309467136859894	-0.04678850248456001	0.187678262591362	-0.00790051557123661	-0.4082348942756653
ACCUMBENS_LEFT	0.5637570023536682	-0.07989051192998886	0.027096981182694435	0.16708169877529144	0.08428428322076797	0.3939465284347534	0.23749370872974396	0.3741181194782257	1.0	0.36258697509765625	0.6449864506721497	0.37485891580581665	-0.5522883534431458	-0.2503173053264618	0.2929765284061432	0.33246392011642456	-0.16973695158958435	0.5934236645698547	0.2683822512626648
DIENCEPHALON_VENTRAL_LEFT	-0.03357759490609169	0.16153891384601593	0.6325755715370178	0.6668093204498291	-0.3801013231277466	-0.4230988025665283	0.0035269493237137794	-0.19010670483112335	0.36258697509765625	1.0	-0.016153158619999886	0.18329128623008728	-0.12151018530130386	0.2726289629936218	-0.15671920776367188	0.30366915464401245	-0.14124174416065216	0.7512268424034119	0.526231586933136
